date,player1,score1,player2,score2
2025-06-03,sirius,11,chez,1
2025-06-03,baltic,12,rick,0
2025-06-03,beniu,6,nugget,7
2025-06-03,apollix,0,sted,12
2025-06-04,emily 🌸,9,sirius,0
2025-06-04,kuyi,11,vivid,0
2025-06-04,tamp,3,baltic,8
2025-06-04,blunderer,0,sealand,10
2025-06-04,kan,0,nugget,9
2025-06-04,kk,3,ral,5
2025-06-04,silvy,1,sted,8
2025-06-04,hayden,8,erix,2
2025-06-05,emily 🌸,4,kuyi,6
2025-06-05,baltic,6,sealand,3
2025-06-05,nugget,7,ral,3
2025-06-05,sted,8,hayden,2
2025-06-06,kuyi,2,baltic,11
2025-06-06,nugget,1,sted,12
2025-06-08,baltic,8,sted,2
2025-06-09,kuyi,9,nugget,1
2025-06-15,beniu,11,apollix,0
2025-06-15,tamp,14,silvy,0
2025-06-15,rick,3,blunderer,8
2025-06-15,kan,1,silvy,11
2025-06-16,garry,5,baltic,6
2025-06-16,vivid,0,silvy,13
2025-06-16,kk,2,rick,12
2025-06-16,kan,3,apollix,11
2025-06-17,garry,7,sted,4
2025-06-17,vivid,10,kan,3
2025-06-17,rick,10,chez,1
2025-06-17,kk,5,erix,6
2025-06-19,tamp,9,emily 🌸,3
2025-06-19,sealand,10,garry,2
2025-06-19,ral,3,beniu,8
2025-06-19,bakel,8,no one,1
2025-06-19,kk,8,chez,3
2025-06-21,bakel,0,tamp,13
2025-06-21,emily 🌸,13,silvy,1
2025-06-21,chez,3,beniu,11
2025-06-21,rick,3,kuyi,10
2025-06-21,amg,8,sirius,3
2025-06-22,blunderer,0,emily 🌸,9
2025-06-22,kan,1,chez,12
2025-06-22,rick,2,sted,11
2025-06-22,kuyi,2,sealand,11
2025-06-23,amg,0,sealand,12
2025-06-23,ral,10,apollix,3
2025-06-25,sted,6,emily 🌸,3
2025-06-25,sealand,6,tamp,4
2025-06-25,garry,5,kuyi,4
2025-06-25,blunderer,8,silvy,1
2025-06-25,apollix,2,kk,7
2025-06-25,ral,7,melissa,5
2025-06-29,kk,7,silvy,5
2025-06-30,silvy,6,apollix,5
2025-06-30,rick,6,ral,6
2025-06-30,garry,4,tamp,6
2025-06-30,beniu,6,emily 🌸,7
2025-06-30,kuyi,8,sted,3
2025-06-30,manos,7,tamp,3
2025-07-01,emily 🌸,6,hayden,3
2025-07-01,beniu,2,blunderer,7
2025-07-01,manos,4,baltic,6
2025-07-01,chez,4,silvy,4
2025-07-01,apollix,7,vivid,1
2025-07-02,beniu,6,kk,2
2025-07-04,manos,2,sealand,7
2025-07-04,tamp,7,amg,1
2025-07-04,garry,9,bakel,0
2025-07-04,rick,7,beniu,4
2025-07-04,hayden,8,blunderer,0
2025-07-11,amg,2,garry,10
2025-07-11,kuyi,10,bakel,2
2025-07-11,no one,0,sted,13
2025-07-11,nugget,2,emily 🌸,10
2025-07-11,melissa,1,kk,12
2025-07-12,amg,1,kuyi,6
2025-07-12,erix,0,blunderer,6
2025-07-12,sirius,0,hayden,6
2025-07-12,kyobir,1,emily 🌸,4
2025-07-12,melissa,0,silvy,7
2025-07-14,bakel,5,amg,7
2025-07-14,no one,2,emily 🌸,8
2025-07-14,kyobir,4,hayden,6
2025-07-14,sirius,2,blunderer,8
2025-07-14,erix,2,rick,10
2025-07-17,bakel,1,beniu,8
2025-07-20,beniu,2,erix,4
2025-07-20,blunderer,4,kyobir,3
2025-07-20,apollix,6,chez,0
2025-07-20,kk,5,no one,1
2025-07-20,surviv,0,rick,9
2025-07-26,rick,5,kyobir,4
2025-07-26,no one,8,silvy,2
2025-07-26,beniu,9,surviv,1
2025-07-26,vivid,0,m,8
2025-08-13,emily 🌸,7,emily 🤖,1
2025-08-13,manos,9,m,0
2025-08-13,erix,4,kyobir,7
2025-08-13,ral,8,surviv,2
2025-08-13,chez,6,vivid,3
